Name,Version,License,URL
babel-helper-define-map,6.26.0,MIT,Unknown
babel-helper-evaluate-path,0.2.0,MIT,https://github.com/babel/minify#readme
babel-helper-explode-assignable-expression,6.24.1,MIT,Unknown
babel-helper-explode-class,6.24.1,MIT,Unknown
babel-helper-flip-expressions,0.2.0,MIT,https://github.com/babel/minify#readme
babel-helper-function-name,6.24.1,MIT,Unknown
babel-helper-get-function-arity,6.24.1,MIT,Unknown
babel-helper-hoist-variables,6.24.1,MIT,Unknown
babel-helper-is-nodes-equiv,0.0.1,MIT,https://github.com/babel/babili#readme
babel-helper-is-void-0,0.2.0,MIT,https://github.com/babel/minify#readme
babel-helper-mark-eval-scopes,0.2.0,MIT,https://github.com/babel/minify#readme
babel-helper-optimise-call-expression,6.24.1,MIT,Unknown
babel-helper-regex,6.26.0,MIT,Unknown
babel-helper-remap-async-to-generator,6.24.1,MIT,Unknown
babel-helper-remove-or-void,0.2.0,MIT,https://github.com/babel/minify#readme
babel-helper-replace-supers,6.24.1,MIT,Unknown
babel-helper-to-multiple-sequence-expressions,0.2.0,MIT,https://github.com/babel/minify#readme
babel-helpers,6.24.1,MIT,https://babeljs.io/
babel-loader,7.1.2,MIT,https://github.com/babel/babel-loader
babel-messages,6.23.0,MIT,https://babeljs.io/
babel-plugin-check-es2015-constants,6.22.0,MIT,Unknown
babel-plugin-dynamic-import-node,1.1.0,MIT,https://github.com/airbnb/babel-plugin-dynamic-import-node#readme
babel-plugin-minify-builtins,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-constant-folding,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-dead-code-elimination,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-flip-comparisons,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-guarded-expressions,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-infinity,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-mangle-names,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-numeric-literals,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-replace,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-simplify,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-minify-type-constructors,0.2.0,MIT,https://github.com/babel/minify#readme
babel-plugin-react-docgen,1.8.1,MIT,Unknown
babel-plugin-syntax-async-functions,6.13.0,MIT,Unknown
babel-plugin-syntax-async-generators,6.13.0,MIT,Unknown
babel-plugin-syntax-class-constructor-call,6.18.0,MIT,Unknown
babel-plugin-syntax-class-properties,6.13.0,MIT,Unknown
babel-plugin-syntax-decorators,6.13.0,MIT,Unknown
babel-plugin-syntax-do-expressions,6.13.0,MIT,Unknown
babel-plugin-syntax-dynamic-import,6.18.0,MIT,Unknown
babel-plugin-syntax-exponentiation-operator,6.13.0,MIT,Unknown
babel-plugin-syntax-export-extensions,6.13.0,MIT,Unknown
babel-plugin-syntax-flow,6.18.0,MIT,Unknown
babel-plugin-syntax-function-bind,6.13.0,MIT,Unknown
babel-plugin-syntax-jsx,6.18.0,MIT,Unknown
babel-plugin-syntax-object-rest-spread,6.13.0,MIT,Unknown
babel-plugin-syntax-trailing-function-commas,6.22.0,MIT,Unknown
babel-plugin-transform-async-generator-functions,6.24.1,MIT,Unknown
babel-plugin-transform-async-to-generator,6.24.1,MIT,Unknown
babel-plugin-transform-class-constructor-call,6.24.1,MIT,Unknown
babel-plugin-transform-class-properties,6.24.1,MIT,Unknown
babel-plugin-transform-decorators,6.24.1,MIT,Unknown
babel-plugin-transform-do-expressions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-arrow-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoped-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoping,6.26.0,MIT,Unknown
babel-plugin-transform-es2015-classes,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-computed-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-destructuring,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-duplicate-keys,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-for-of,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-function-name,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-modules-amd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-commonjs,6.26.0,MIT,Unknown
babel-plugin-transform-es2015-modules-systemjs,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-umd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-object-super,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-parameters,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-shorthand-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-spread,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-sticky-regex,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-template-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-typeof-symbol,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-unicode-regex,6.24.1,MIT,Unknown
babel-plugin-transform-exponentiation-operator,6.24.1,MIT,Unknown
